Series_Complete_18PlusPop_Pct,SVI_CTGY,per_gop,life_expectancy,per_foodinsecurity,med_household_income,per_rural,per_65andover,per_18andyounger,per_broadband,per_BIPOC,per_uninsured,primarycarephysicians_ratio,per_flushotvaccine,per_somecollege,per_unemployed,per_poverty
0.446,C,0.8284356435643564,80.1,0.13,54648,0.409,0.145,0.252,0.82,0.032,0.13,2187,0.42,0.62,0.032,0.131
0.6659999999999999,A,0.5588276936146114,85.3,0.12,64041,1,0.259,0.183,0.85,0.017,0.14,649,0.46,0.59,0.039,0.08800000000000001
0.695,C,0.4978372811534501,79.2,0.13,48943,0.627,0.174,0.192,0.74,0.132,0.07,1676,0.48,0.51,0.049,0.181
0.586,C,0.7518910741301059,76.1,0.18,50560,1,0.205,0.226,0.68,0.03,0.08,5176,0.47,0.59,0.04099999999999999,0.165
0.8290000000000001,C,0.5543059460585233,75.4,0.15,58978,0.117,0.09,0.308,0.83,0.197,0.08,2507,0.29,0.74,0.044,0.117
0.49700000000000005,D,0.7519907795473596,74.9,0.13,50539,0.556,0.152,0.254,0.75,0.09,0.15,3269,0.47,0.44,0.037,0.139
0.43799999999999994,C,0.8144266876255349,75.7,0.17,56882,0.727,0.198,0.233,0.73,0.164,0.19,2894,0.4,0.58,0.04,0.14300000000000002
0.5379999999999999,C,0.8369940738872778,74.9,0.16,48913,0.5329999999999999,0.173,0.251,0.79,0.04000000000000001,0.14,1747,0.49,0.53,0.025,0.157
0.725,C,0.5956018058434368,78.8,0.12,57660,0.193,0.271,0.18899999999999997,0.86,0.11200000000000002,0.15,1485,0.53,0.61,0.032,0.109
0.214,D,0.781021897810219,73.8,0.14,47896,0.514,0.157,0.254,0.75,0.133,0.19,3539,0.47,0.44,0.036,0.162
0.44,A,0.8075833333333333,78.9,0.11,67315,0.889,0.19,0.23,0.76,0.006,0.08,1263,0.5,0.55,0.034,0.092
0.7859999999999999,C,0.43894830659536543,76.4,0.14,45235,1,0.27,0.197,0.72,0.338,0.15,978,0.52,0.51,0.044,0.181
0.412,D,0.8134820070957931,77.5,0.18,38641,0.527,0.17800000000000002,0.198,0.71,0.124,0.14,5821,0.37,0.4,0.042,0.241
0.58,A,0.6636540502299257,79.9,0.08,67706,0.537,0.211,0.198,0.81,0.02,0.07,1904,0.57,0.59,0.033,0.076
0.685,A,0.5778321108394459,76.1,0.05,66422,1,0.212,0.224,0.77,0.017,0.07,2619,0.45,0.6,0.017,0.087
0.852,B,0.22235889590064328,82.4,0.1,102338,0.032,0.135,0.2,0.92,0.08499999999999999,0.06,830,0.53,0.82,0.02799999999999999,0.077
0.737,C,0.3614619375216532,79.1,0.14,57212,0.175,0.199,0.182,0.85,0.03,0.09,1164,0.5,0.7,0.04099999999999999,0.139
0.489,A,0.8555699481865285,79.1,0.1,63443,1,0.237,0.247,0.82,0.009,0.12,976,0.47,0.7,0.023,0.095
0.664,A,0.5748895147809759,80.1,0.06,103827,0.575,0.16899999999999998,0.231,0.88,0.08000000000000002,0.1,1910,0.53,0.67,0.024,0.061
0.539,B,0.6409599400037498,79.6,0.11,55684,0.893,0.215,0.192,0.74,0.05500000000000001,0.07,4914,0.31,0.57,0.055,0.116
0.5,B,0.7349744366597235,77.9,0.13,52554,0.619,0.191,0.223,0.79,0.012,0.09,2239,0.48,0.54,0.042,0.126
0.5529999999999999,D,0.7768513977439921,77.4,0.15,45022,0.5329999999999999,0.187,0.264,0.74,0.048,0.23,1459,0.35,0.51,0.043,0.173
0.525,C,0.7800921973706676,73.9,0.19,39604,0.636,0.199,0.222,0.69,0.018,0.08,3287,0.29,0.58,0.042,0.184
0.7290000000000001,C,0.2805106173042531,81.7,0.11,70951,0.069,0.129,0.208,0.88,0.049,0.07,822,0.5,0.7,0.04099999999999999,0.16899999999999998
0.593,C,0.6026876218794045,75.7,0.15,54145,0.231,0.187,0.214,0.79,0.08900000000000001,0.09,2091,0.55,0.56,0.037,0.131
0.8029999999999999,A,0.3952052987223562,79.6,0.08,88443,0.067,0.174,0.207,0.89,0.173,0.05,1178,0.55,0.73,0.033,0.057
0.449,A,0.7630610743193524,80.1,0.12,50589,1,0.243,0.228,0.73,0.029,0.13,7451,0.36,0.54,0.03,0.125
0.5479999999999999,A,0.7256,79.5,0.06,56527,1,0.303,0.211,0.77,0.011,0.08,2232,0.34,0.74,0.025,0.095
0.535,A,0.7482710926694329,78.5,0.1,48703,0.474,0.252,0.205,0.79,0.021,0.13,1235,0.48,0.69,0.031,0.132
0.529,C,0.8233905241618134,76.8,0.15,55800,0.618,0.184,0.254,0.73,0.07,0.19,14874,0.38,0.5,0.03,0.138
0.55,B,0.8774675855624343,76.4,0.14,59437,0.682,0.124,0.33399999999999996,0.85,0.05600000000000001,0.15,2218,0.42,0.54,0.039,0.142
0.452,C,0.7234665570738724,76.8,0.13,53266,0.635,0.201,0.198,0.77,0.027,0.06,1862,0.39,0.52,0.053,0.146
0.701,B,0.42629205371543977,79,0.1,70980,0.109,0.17,0.194,0.78,0.264,0.11,809,0.51,0.74,0.023,0.117
0.6609999999999999,B,0.7674932870004738,77.2,0.11,46658,0.805,0.225,0.205,0.8,0.031,0.09,6888,0.32,0.44,0.051,0.142
0.639,C,0.4877993624300606,77.7,0.12,51923,0.2,0.18600000000000003,0.211,0.81,0.077,0.06,1231,0.54,0.62,0.046,0.166
0.523,D,0.3945598417408507,77.7,0.19,39777,0.894,0.27,0.172,0.53,0.5730000000000001,0.12,19676,0.5,0.52,0.052,0.21600000000000005
0.794,C,0.5252389969057405,80.6,0.11,59838,0.272,0.196,0.232,0.81,0.028,0.11,820,0.34,0.52,0.049,0.122
0.41,B,0.8022195798652398,77.1,0.16,62876,1,0.231,0.218,0.6,0.018,0.11,4875,0.29,0.6,0.059,0.12
0.677,D,0.6629491945477075,71.5,0.21,34376,0.644,0.207,0.213,0.65,0.248,0.06,3060,0.34,0.41,0.057,0.256
0.434,B,0.8882224645583424,78.7,0.15,59286,1,0.22,0.244,0.71,0.07600000000000001,0.2,1828,0.31,0.5,0.03,0.134
0.7190000000000001,C,0.4946707721459024,79.7,0.14,52298,0.696,0.264,0.188,0.82,0.026,0.1,1339,0.25,0.57,0.039,0.12
0.467,A,0.7522485690923958,86.2,0.08,55259,1,0.27399999999999997,0.205,0.75,0.016,0.11,1855,0.21,0.56,0.02799999999999999,0.103
0.504,D,0.5689460299519637,75,0.15,45913,0.523,0.193,0.194,0.65,0.395,0.14,1542,0.51,0.37,0.02799999999999999,0.215
0.562,D,0.5568376556609163,77.3,0.19,44648,1,0.17,0.199,0.73,0.38200000000000006,0.2,7004,0.52,0.47,0.038,0.202
0.563,A,0.7413249211356467,82.9,0.06,56059,1,0.275,0.21600000000000005,0.75,0.009,0.11,4062,0.5,0.7,0.021,0.122
0.506,B,0.7963898916967509,73,0.14,58962,1,0.165,0.228,0.71,0.013,0.07,4843,0.48,0.44,0.038,0.124
0.58,A,0.727752787013495,82.9,0.09,59793,1,0.223,0.229,0.77,0.015,0.07,9390,0.46,0.65,0.059,0.075
0.603,B,0.7277041255153187,75.9,0.11,65790,0.532,0.154,0.235,0.83,0.082,0.12,2731,0.54,0.56,0.02899999999999999,0.105
0.556,A,0.7071443744246974,80.6,0.06,68634,0.21899999999999997,0.132,0.238,0.87,0.07300000000000001,0.08,1383,0.55,0.69,0.025,0.09
0.608,A,0.6072013093289689,79.2,0.08,60728,0.54,0.222,0.182,0.78,0.014,0.06,1731,0.52,0.63,0.037,0.091
0.535,B,0.6413424819149927,78.8,0.11,59582,0.605,0.152,0.22,0.81,0.054,0.07,4013,0.31,0.56,0.034,0.115
0.534,D,0.6561866767983789,74.9,0.14,46295,0.313,0.198,0.233,0.77,0.139,0.07,2478,0.34,0.5,0.051,0.168
0.737,D,0.3304416403785489,72.3,0.16,45296,1,0.122,0.337,0.67,0.785,0.16,1589,0.37,0.68,0.08199999999999999,0.259
0.525,D,0.6509254066180594,78.4,0.1,54604,0.193,0.113,0.298,0.78,0.042,0.17,2259,0.44,0.47,0.025,0.138
0.732,B,0.674368261997128,76,0.11,66434,0.416,0.163,0.233,0.82,0.124,0.1,1780,0.55,0.61,0.032,0.085
0.42,C,0.8839718983124502,74.5,0.18,44675,0.889,0.215,0.208,0.66,0.043,0.13,2976,0.39,0.56,0.034,0.16899999999999998
0.593,B,0.8412017167381974,75.9,0.11,49588,1,0.227,0.23,0.73,0.021,0.14,2516,0.13,0.61,0.023,0.121
0.575,C,0.7376484644036826,75.1,0.16,45049,0.684,0.196,0.204,0.74,0.05,0.08,2367,0.36,0.46,0.062,0.188
0.644,A,0.7558152323343414,76.6,0.12,56259,0.675,0.226,0.191,0.75,0.01,0.06,2331,0.4,0.55,0.051,0.111
0.5720000000000001,A,0.5647720425788311,81,0.09,79086,1,0.27899999999999997,0.162,0.77,0.046,0.13,2417,0.47,0.51,0.025,0.085
0.43700000000000006,B,0.7467636247402908,77.1,0.14,52877,0.802,0.21899999999999997,0.198,0.67,0.024,0.13,2992,0.32,0.43,0.038,0.113
0.15,C,0.7584998247458815,77.6,0.16,48115,0.516,0.171,0.2,0.69,0.267,0.15,2568,0.46,0.56,0.05,0.185
0.37799999999999995,C,0.7736238962990795,75.2,0.16,41749,1,0.229,0.17800000000000002,0.65,0.013,0.14,5879,0.46,0.38,0.046,0.171
0.479,D,0.14933306949928496,77.4,0.16,50949,0,0.138,0.172,0.75,0.466,0.13,945,0.51,0.69,0.033,0.192
0.69,B,0.4893795886341983,80.7,0.08,72438,0.259,0.158,0.217,0.84,0.068,0.06,1073,0.58,0.6,0.031,0.08199999999999999
0.579,A,0.6479410535117057,78.5,0.11,73882,0.324,0.173,0.238,0.84,0.052,0.1,4373,0.49,0.64,0.03,0.079
0.468,D,0.7804231049804363,73.1,0.16,48770,0.429,0.179,0.237,0.77,0.146,0.11,2666,0.49,0.51,0.049,0.173
